"","card1","card2","card3","card4","card5","winloss"
"649",2,6,11,0,0,"Win"
"650",9,8,0,0,0,"Win"
"651",11,6,1,0,0,"Loss"
"652",3,7,6,4,0,"Win"
"653",8,9,0,0,0,"Loss"
"654",7,10,0,0,0,"Push"
"655",4,10,0,8,0,"Loss"
"656",5,4,5,9,0,"Loss"
"657",4,5,10,0,0,"Loss"
"658",2,10,0,10,0,"Loss"
"659",3,4,8,0,0,"Loss"
"660",2,10,0,10,0,"Loss"
"661",7,6,0,3,10,"Loss"
"662",6,7,0,10,0,"Loss"
"663",10,11,0,0,0,"Win"
"664",10,10,0,0,0,"Loss"
"665",10,2,0,6,0,"Win"
"666",9,5,0,10,0,"Loss"
"667",4,10,0,0,0,"Win"
"668",2,8,11,0,0,"Win"
"669",7,11,0,0,0,"Loss"
"670",3,10,0,0,0,"Loss"
"671",5,10,0,0,0,"Loss"
"672",10,2,0,10,0,"Loss"
"673",10,7,0,0,0,"Win"
"674",10,10,0,0,0,"Push"
"675",4,10,0,0,0,"Win"
"676",4,5,4,6,0,"Loss"
"677",10,9,0,0,0,"Loss"
"678",10,4,0,0,0,"Win"
"679",5,7,0,0,0,"Loss"
"680",10,7,0,0,0,"Win"
"681",3,10,0,9,0,"Loss"
"682",4,10,0,10,0,"Loss"
"683",5,4,10,0,0,"Win"
"684",10,7,0,0,0,"Win"
"685",8,11,0,0,0,"Win"
"686",10,6,0,5,0,"Win"
"687",1,3,10,0,0,"Win"
"688",6,2,10,0,0,"Loss"
"689",10,7,0,0,0,"Win"
"690",10,10,0,0,0,"Win"
"691",10,8,0,0,0,"Loss"
"692",10,9,0,0,0,"Win"
"693",10,11,0,0,0,"Win"
"694",4,9,0,10,0,"Loss"
"695",2,6,7,10,0,"Loss"
"696",10,5,0,0,0,"Loss"
"697",10,6,0,0,0,"Loss"
"698",10,3,0,0,0,"Loss"
"699",3,10,0,4,0,"Loss"
"700",5,7,0,10,0,"Loss"
"701",11,10,0,0,0,"Win"
"702",1,4,7,7,0,"Win"
"703",7,10,0,0,0,"Push"
"704",10,10,0,0,0,"Win"
"705",10,2,0,9,0,"Win"
"706",10,2,0,7,0,"Push"
"707",10,10,0,0,0,"Win"
"708",6,10,0,2,0,"Loss"
"709",6,5,6,0,0,"Win"
"710",10,8,0,0,0,"Win"
"711",2,10,0,9,0,"Win"
"712",6,10,0,0,0,"Loss"
"713",9,3,0,0,0,"Win"
"714",2,9,10,0,0,"Win"
"715",2,3,8,10,0,"Loss"
"716",6,8,0,3,0,"Loss"
"717",9,10,0,0,0,"Win"
"718",10,7,0,0,0,"Loss"
"719",10,4,0,0,0,"Loss"
"720",6,7,0,0,0,"Win"
"721",11,4,4,0,0,"Win"
"722",3,11,4,0,0,"Loss"
"723",7,9,0,10,0,"Loss"
"724",6,7,0,0,0,"Win"
"725",4,10,0,10,0,"Loss"
"726",10,10,0,0,0,"Push"
"727",7,10,0,0,0,"Loss"
"728",10,2,0,2,0,"Loss"
"729",10,4,0,6,0,"Loss"
"730",5,5,7,0,0,"Push"
"731",5,10,0,10,0,"Loss"
"732",10,10,0,0,0,"Win"
"733",4,6,7,0,0,"Loss"
"734",4,1,10,2,0,"Loss"
"735",3,10,0,9,0,"Loss"
"736",10,2,0,10,0,"Loss"
"737",11,10,0,0,0,"Win"
"738",10,2,0,9,0,"Push"
"739",10,2,0,3,4,"Win"
"740",6,10,0,8,0,"Loss"
"741",10,4,0,0,0,"Loss"
"742",6,5,4,10,0,"Loss"
"743",7,2,11,0,0,"Push"
"744",4,10,0,0,0,"Win"
"745",10,7,0,0,0,"Push"
"746",2,10,0,7,0,"Win"
"747",2,10,0,1,0,"Loss"
"748",1,4,10,10,0,"Loss"
"749",10,2,0,0,0,"Win"
"750",6,4,10,0,0,"Push"
